,formula,bandgap,effective_mass_n,effective_mass_p,ave_ele_diele,ave_ion_diele,formation_energy
307,Hg(SbO3)2,2.2003000000000004,0.642887375145049,3.518401732427563,5.099835333333333,8.253252333333334,-1.6210491716666677
308,HfSiO4,8.0133,14.811033730149566,8.826780297628208,3.8919676666666665,7.465469333333334,-3.655534863333332
309,HfO2,5.911200000000001,5.307797710383059,17.26199155508664,4.752285,12.008217,-4.019811100833333
310,HfGeO4,6.3398,2.8285520547307925,36.092824157155206,4.672985,13.247272333333333,-3.057883398333333
311,Hg2GeO4,2.1616999999999997,1.1472463866606644,9.577590045630696,5.650546333333334,7.595986000000001,-1.2758405857142856
312,Hg(AsO3)2,2.6295,0.6945002591814483,3.2777284490753624,4.977647666666667,8.388259,-1.468409555
313,Hg2WO4,2.7385,3.1830202293785526,2.4625051633048605,6.541574,11.149944333333332,-1.450482718571429
314,In6Ge2PtO9,2.3949,0.5547413619169083,6.6695875620543585,7.033704,9.975447,-1.7544686541666676
315,Hg3(BO3)2,4.5103,3.227054110951369,10.943514216478937,4.2178906666666665,3.4952969999999994,-1.6654760366666665
316,In2Pt2O7,3.4617999999999993,0.9425552896116455,8.840712772508477,7.388302,5.219332,-1.5206784772727273
317,HgAsO3,2.6072,0.6416131972445905,3.6599315549160285,4.7201916666666675,7.458185666666666,-1.36557892
318,HgMoO4,3.372,5.153761394986455,5.900532567118544,5.852732333333333,8.033720333333333,-1.5410375866666683
319,InBO3,5.5877,1.4146066966605724,6.662137498364121,3.554743333333333,6.230160000000001,-2.460089823833333
320,HgO,2.2824,5.451013484947682,5.714299158662298,6.354884000000001,6.208623333333333,-0.6380533187500004
321,In6Ga2PtO8,1.4745,0.43720380155774774,18.11256281452537,8.235271,6.999803,-1.7777523973529403
322,InSbO4,2.9721,0.6102159272615375,23.664706092845734,4.771778666666667,8.801013666666666,-1.9531342274999997
323,K2Cd2O3,2.0759,0.7749263315669326,4.862072910531866,5.331521333333334,20.184903666666667,-1.421974928
324,K2LiBO3,7.4663,1.5760576866598452,103.41713017148416,2.6045603333333336,6.625821999999999,-2.3490071212142856
325,K2HgO2,4.7161,19.484640985803306,479.5854994291773,3.122221666666667,3.196497666666667,-1.3482863282
326,K2CdO2,3.5434,1.2608066920113536,25.91396469395481,3.6984246666666665,6.269668333333333,-1.4227824772000002
327,K2CrO4,5.9666999999999994,25.530132050883246,19.016447242670647,2.813928,5.138455,-2.064692100857142
328,K2Al2Sb2O7,5.6761,2.701295843144756,14.830002276096042,3.1829769999999997,4.846507333333333,-2.5361834362307683
329,K2BeO2,6.2717,1.3679166881346632,1913.4309227738706,2.743923,5.363111,-2.1087224357000003
330,K2LiVO4,6.9994,34.93487608378713,59.74705354473692,2.9299283333333332,5.1973666666666665,-2.3815384211666677
331,K2Na4Be2O5,5.8622,1.351651865647534,27.800458563151125,2.7850463333333333,4.340318333333333,-2.0190970670928374
332,K2Pb2O3,2.4279,1.3635660821450755,0.9890777692671756,5.178219,4.929581,-1.5674005930000003
333,K2NaTlO3,3.5575,1.3365043796726286,22.800193895499834,3.6305600000000005,7.119423,-1.4404617283407233
334,K2PbO2,3.492,2.8666608211827143,14.64199765458146,3.819478666666667,4.072667,-1.5445868726999992
335,K2MoO4,7.3027999999999995,502.56065701118206,10.757916814482257,2.7136186666666666,5.335565666666667,-2.2102276172857156
336,K2MgO2,5.5971,1.217330676785272,11.3696455724998,2.9896456666666666,9.241252666666666,-1.9796745647000002
337,K2O,4.2339,1.2532146217900944,17.90030583185927,3.2236500000000006,5.023135,-1.2478575836666663
338,K2SnO3,5.1762,1.3531942689793242,58.11005868570194,3.133634666666667,5.160640333333333,-1.960791325583334
339,K2Sn2O3,1.9424000000000001,2.745243346104861,0.78054871767601,5.198546,4.408163,-1.7484540158571429
340,K2SrTa2O7,4.1107,4213.947075054788,43.219144142983076,4.159290333333334,35.395635000000006,-3.1518085123055553
341,K2PdO2,3.8509,50.548444840252785,402.47267469571466,4.317436333333333,4.820187333333333,-1.2972710951999993
342,K2PbO3,2.8844000000000003,1.2485985023466584,105.12329215294112,4.381364666666666,6.242933333333333,-1.595229126
343,K2W2O7,4.0556,11235.085215959578,629.2734543013183,4.246939333333334,14.585453333333334,-2.2877532241818175
344,K2TiO3,6.0828,9.520227610191137,109.75969500825302,3.3729546666666668,10.250610666666667,-2.7683101607222227
345,K2WO4,8.0824,1.6217562092022617,10.919165232834514,2.6302033333333337,5.275626666666667,-2.2623488715714286
346,K2Zn(GeO3)2,6.1246,1.383056081834587,14.22455517306265,2.99808,6.251424666666668,-2.118034853727273
347,K2Zn(SiO3)2,7.8668,1.4384339639924386,17.66729107129096,2.667399,5.743921333333333,-2.738241137818182
348,K2Zn3O4,4.1168,0.9672687116279598,9.656306235579656,3.6119833333333333,5.883552333333333,-1.7129024184444446
349,K2Zr(SiO3)3,8.329799999999999,1.5975928245658404,18.57036908654195,2.8734823333333335,6.794111333333333,-3.223989728066668
350,K2ZnO2,4.9140999999999995,1.1388616291870601,20.31465885433101,3.255967333333333,8.087598666666667,-1.5858322862
351,K2Zr(BO3)2,6.705500000000001,3.286422742150547,32.98399679030662,3.2462283333333333,6.185018333333333,-2.985414737666667
352,K2ZrGe2O7,6.7768,1.5129695930612455,19.37192858096823,3.4815576666666668,9.487477333333333,-2.6043478938333333
353,K2ZrO3,6.6073,1.6561506597746054,79.82879482834255,3.116823666666667,5.7514080000000005,-2.7850904772500007
354,K3AlO3,6.2168,1.296765556029292,63.96046158106304,2.7724043333333337,5.357741333333333,-2.2661893055714293
355,K3BiO4,3.9256,1.9639328375396716,196.53903605536084,3.327498,5.079876,-1.6478609523749999
356,K3GaO3,5.756600000000001,1.2291177970699132,116.36004104710837,2.949643,5.622343666666666,-1.8962762109285722
357,K3NaCr2O8,5.8825,54.62837932005252,28.965687373149013,2.8279389999999993,4.427339333333333,-2.0539452878965525
358,K3BiO3,5.1759,7.34402126005989,81.75538055043276,3.1846270000000003,3.82103,-1.6843301366428576
359,K3AuO,1.6006,1.2672081955674122,8.830886839498302,5.679782,9.648285,-0.8923022508000003
360,K3Nb3(BO6)2,4.0173,2.277533875699929,25.210626607344164,4.702020666666667,23.81111233333333,-2.880711047366667
361,K3ScSi2O7,6.7552,1.8739068356210782,395.52965043394033,2.9707233333333334,6.200667,-3.0426302164615393
362,K3Ta3(BO6)2,4.679,1.9504237487103038,25.843934946642293,4.2347790000000005,29.071719333333334,-3.0601646518666668
363,K3V5O14,3.7500999999999998,88.34988183534531,127.19020354006702,4.571054,13.12282633333333,-2.405595835409092
364,K3ScV2O8,5.3817,5.941063138058084,7.390080079801166,3.646144666666667,11.949292999999999,-2.7020391317142867
365,K3SbO3,5.6876,5.567866534203606,58.94587092275138,3.08047,4.284503,-1.8246181187857147
366,K4Be3O5,6.5419,1.5414783372309713,69.43986064778906,2.7224226666666667,5.415421666666667,-2.308588006000001
